Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-08-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),8.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Start Closing More,7.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-06,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,7.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-02,adhocwhol,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-03,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-04,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-05,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-08-08,NBNurture,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-04,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,NBNurture,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-04,NBNurture,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-05,NBNurture,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-05,adhocwhol,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-06,NBNurture,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,Announcement,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-03,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,NBNurture,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-05,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-08,adhocwhol,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-04,Announcement,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-08,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),5.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),4.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1.0,Campaign,3
2022-08-03,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-04,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Closer Twins Banner),1.0,Campaign,3
2022-08-06,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Closer Twins Banner),1.0,Campaign,3
2022-08-06,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Closer Twins Banner),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-03,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-06,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),5.0,Campaign,3
2022-08-02,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-03,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3.0,Campaign,3
2022-08-03,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),4.0,Campaign,3
2022-08-04,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-04,NB_Wholesale_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-06,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-06,NB_Wholesale_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3.0,Campaign,3
2022-08-08,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1.0,Campaign,3
2022-08-06,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Our Story),1.0,Campaign,3
2022-08-08,NB_Wholesale_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Get Approved,1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),4.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),3.0,Campaign,3
2022-08-08,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-03,NB_Wholesale_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,NB_Wholesale_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,2.0,Campaign,3
2022-08-04,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,2.0,Campaign,3
2022-08-05,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-08,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,4.0,Campaign,3
2022-08-08,Brand_Phrase,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1.0,Campaign,3
2022-08-03,Brand_Exact,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-05,FY23_broker_campaign,4,CloserTwins,Cutdown1B,Domain Display,Video,Get Approved,1.0,Campaign,2
2022-08-02,FY22_broker_campaign_ph2,4,CloserTwins,EarlyBird,LinkedIn,Single image,Get Approved,1.0,Campaign,2
2022-08-03,FY22_broker_campaign_ph2,4,CloserTwins,EarlyBird,LinkedIn,Single image,Get Approved,1.0,Campaign,2
2022-08-02,FY22_broker_campaign_ph2,4,CloserTwins,EarlyBird,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,2
2022-08-06,FY22_broker_campaign_ph2,5,CloserTwins,EarlyBird,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,2
2022-08-02,FY22_broker_campaign_ph2,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,NA
2022-08-06,FY22_broker_campaign_ph2,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,NA
2022-08-08,FY23_broker_campaign,4,CloserTwins,MoreLoansAll,User ID Display,NA,Get Approved,1.0,Campaign,2
2022-08-08,FY22_broker_campaign_ph2,1,UnfairAdvantage,1099.0,Facebook,Single image,Learn More (Community Mortgage),1.0,Campaign,1
2022-08-02,FY22_broker_campaign_ph2,5,UnfairAdvantage,1099.0,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,2
2022-08-02,FY22_broker_campaign_ph2,NA,UnfairAdvantage,1099.0,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,NA
2022-08-03,FY22_broker_campaign_ph2,1,UnfairAdvantage,1page,Facebook,Single image,Learn More (Community Mortgage),1.0,Campaign,1
2022-08-08,FY22_broker_campaign_ph2,NA,UnfairAdvantage,All,LinkedIn,Carousel,Start Closing More,1.0,Campaign,NA
2022-08-08,FY22_broker_campaign_ph2,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Get Approved,1.0,Campaign,2
2022-08-08,FY22_broker_campaign_ph2,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,2
2022-08-07,FY22_broker_campaign_ph2,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Get Approved,1.0,Campaign,2
2022-08-03,FY22_broker_campaign_ph2,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),1.0,Campaign,NA
2022-08-03,FY22_broker_campaign_ph2,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),3.0,Campaign,NA
2022-08-05,FY22_broker_campaign_ph2,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Learn More (Community Mortgage),3.0,Campaign,NA
2022-08-04,FY23_broker_campaign,4,UnfairAdvantage,OnePage,Domain Display,NA,Start Closing More,1.0,Campaign,2
2022-08-03,Brand_Phrase,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-02,NB_Wholesale_Phrase,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Learn More (Community Mortgage),1.0,Campaign,3
2022-08-09,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),13.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-13,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-08-13,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-14,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-13,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-13,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-08-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),14.0,General traffic,NA
2022-08-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),10.0,General traffic,NA
2022-08-12,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
