Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-04-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Form Submission,5.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Start Closing More,6.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Get Approved,4.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),22.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Form Submission,3.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-04-30,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-30,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-01,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-05-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Form Submission,3.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),24.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Start Closing More,8.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
