Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,48,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,3,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,175,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,195,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,146,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,131,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,111,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,62,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,48,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,31,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,18,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,7,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,13,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),28,General traffic,5,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,167,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,207,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,175,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,202,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,138,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,137,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,139,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,76,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,42,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,47,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,40,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,33,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,32,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),27,General traffic,14,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,172,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,160,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,159,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,144,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,146,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,137,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,137,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,131,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,115,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,116,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,63,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,45,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,24,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),26,General traffic,11,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,193,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,181,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,174,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,153,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,160,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,158,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,174,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,153,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,186,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,167,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,161,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,160,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,130,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,136,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,139,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,138,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,132,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,77,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,82,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,59,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,54,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,54,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,47,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,24,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,19,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,18,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,12,NA,NA
