Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-04-29,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0.0
2022-04-28,5,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0.0
2022-05-20,1,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0.0
2022-05-19,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,9,0,848.999999999999
2022-09-05,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,3,0,0.0
2022-09-07,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,40,0,0.0
2022-05-07,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-05-03,NA,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,5,0,6.0
2022-08-06,1,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,322.0
2022-07-03,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,11,0,80.9999999999999
2022-10-11,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,3,0,0.0
2022-09-02,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0.0
2022-06-01,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,6,0,1729.99999999999
2022-05-10,4,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0.0
2022-08-30,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,1,0,0.0
2022-05-28,1,CloserTwins,Namaste,LinkedIn,Video,Campaign,1,0,0.0
2022-05-22,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,4,0,0.0
2022-07-11,3,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0.0
2022-07-05,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,10.9999999999999
2022-09-22,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,4,0,1.0
